Age of the mother;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
36 years;32.2;27.6;25.0;22.9;21.8;20.8;21.0;20.9;22.3;23.4;23.6;22.9;23.6;24.3;25.7;27.0;28.4;29.4;30.3;30.0;30.6;31.1;31.1;32.4;35.1;38.0;38.8;40.4;42.0;43.4;45.3;47.2;49.7;50.9;52.2;56.9;60.0;61.5;64.9;67.0;68.7;69.9;73.9;76.6;81.3;81.6;82.6;81.9;82.3;87.3;78.0;72.6
37 years;27.6;23.5;20.9;18.9;17.6;16.9;15.9;16.4;17.1;17.2;18.1;17.9;17.8;18.4;20.0;20.8;21.2;22.4;22.4;23.2;23.1;23.7;23.9;24.5;26.4;29.1;29.7;30.5;32.2;33.1;35.3;36.6;39.1;39.6;41.2;45.4;47.2;49.1;53.0;55.0;56.4;58.5;61.4;62.6;67.4;67.6;68.8;68.8;68.7;72.4;64.9;60.4
38 years;22.9;18.9;17.1;15.1;14.5;13.3;12.3;12.0;13.2;12.8;13.0;13.2;13.1;13.3;14.5;15.2;16.2;16.4;17.4;16.8;17.3;17.2;17.7;18.6;19.8;21.6;22.0;22.5;24.1;24.9;25.7;27.3;29.2;30.8;32.0;34.3;37.0;38.2;40.7;42.5;44.5;47.1;49.7;50.3;53.7;54.3;55.9;54.7;54.5;58.2;52.6;48.7
39 years;19.8;16.3;13.8;12.4;11.6;10.4;9.5;9.2;9.1;9.6;9.4;9.0;9.5;9.7;10.3;10.9;11.5;11.4;11.9;12.2;12.4;12.5;12.8;13.5;14.3;15.8;15.8;16.8;17.8;17.8;18.8;20.0;21.8;22.8;24.2;26.0;27.5;28.8;30.9;32.7;34.1;35.9;38.9;39.6;42.4;42.7;43.7;43.9;43.6;45.9;41.9;38.9
40 years;15.2;13.0;11.3;9.5;8.6;7.8;7.1;6.6;6.7;6.6;6.9;6.4;6.3;6.8;7.4;7.6;8.0;8.3;8.9;8.4;9.0;8.7;9.0;9.0;10.2;10.8;11.2;11.7;12.6;12.6;13.4;13.8;15.2;16.1;17.1;18.6;20.3;20.8;22.6;23.7;25.1;26.5;28.6;30.0;31.9;32.2;32.9;33.3;33.6;35.8;32.0;30.1
41 years;11.2;9.7;8.8;7.3;6.4;5.7;4.9;4.8;4.5;4.6;4.3;4.5;4.4;4.4;4.7;5.3;5.1;5.4;5.6;5.9;5.7;5.7;5.8;6.0;6.4;7.2;7.3;7.5;8.0;8.2;8.8;9.1;9.5;10.1;11.2;12.3;13.2;13.9;14.8;15.7;16.1;17.2;18.8;20.3;21.5;21.6;22.3;22.6;22.4;23.9;22.5;20.7
42 years;7.5;6.7;6.2;5.5;4.6;4.0;3.5;3.1;3.2;3.1;2.9;2.8;2.7;2.8;3.0;3.3;3.4;3.2;3.6;3.5;3.7;3.5;3.7;3.7;4.0;4.4;4.4;4.9;4.9;4.9;5.2;5.5;5.8;6.2;6.7;7.4;8.0;8.3;8.9;9.3;10.0;10.4;11.7;11.8;13.3;13.6;14.4;14.1;14.1;15.3;14.1;13.4
43 years;5.0;4.4;4.0;3.6;3.3;2.8;2.3;2.0;2.0;2.0;1.8;1.7;1.6;1.7;1.6;1.8;2.0;2.1;2.0;2.1;2.2;2.2;2.1;2.2;2.2;2.6;2.5;2.7;3.0;2.9;3.0;3.2;3.3;3.6;3.9;4.1;4.5;4.8;5.0;5.3;5.6;6.0;6.6;6.6;7.7;8.0;8.5;8.6;8.9;9.0;8.6;8.1
44 years;2.8;2.6;2.3;2.1;2.1;1.8;1.3;1.2;1.2;1.1;1.1;1.0;0.9;0.9;1.0;0.9;1.0;1.2;1.2;1.1;1.2;1.1;1.3;1.1;1.3;1.2;1.4;1.4;1.5;1.5;1.7;1.6;1.7;1.9;2.0;2.2;2.4;2.6;2.6;2.8;2.9;3.2;3.3;3.6;4.0;4.1;4.7;4.7;4.8;5.0;4.8;4.9
45 years;1.6;1.4;1.2;1.1;1.1;1.1;0.9;0.7;0.7;0.7;0.6;0.6;0.5;0.5;0.4;0.5;0.5;0.5;0.6;0.6;0.5;0.6;0.6;0.7;0.6;0.7;0.7;0.6;0.7;0.8;0.8;0.8;0.9;0.9;1.0;1.1;1.2;1.3;1.4;1.4;1.5;1.5;1.6;1.8;1.9;2.3;2.5;2.5;2.5;2.6;2.7;2.5
46 years;0.9;0.8;0.8;0.6;0.6;0.5;0.5;0.5;0.4;0.4;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.6;0.6;0.6;0.7;0.7;0.8;0.9;1.1;1.1;1.2;1.2;1.3;1.3;1.5;1.5
47 years;0.4;0.4;0.3;0.3;0.3;0.3;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.2;0.1;0.1;0.1;0.2;0.1;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.3;0.3;0.3;0.4;0.4;0.4;0.5;0.5;0.5;0.7;0.7;0.7;0.8;0.8
48 years;0.2;0.1;0.2;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.0;0.1;0.0;0.0;0.1;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.2;0.2;0.2;0.3;0.2;0.3;0.3;0.3;0.3;0.5;0.5
49 years;0.1;0.1;0.0;0.1;0.1;0.1;0.0;0.1;0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.1;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.1;0.2;0.1;0.2;0.3;0.3;0.2;0.3;0.3
